id,course,name,intro,introformat,timeopen,timeclose,timelimit,overduehandling,graceperiod,preferredbehaviour,canredoquestions,attempts,attemptonlast,grademethod,decimalpoints,questiondecimalpoints,reviewattempt,reviewcorrectness,reviewmarks,reviewspecificfeedback,reviewgeneralfeedback,reviewrightanswer,reviewoverallfeedback,questionsperpage,navmethod,shuffleanswers,sumgrades,grade,timecreated,timemodified,password,subnet,browsersecurity,delay1,delay2,showuserpicture,showblocks,completionattemptsexhausted,completionminattempts,allowofflineattempts
2,2,Zahlworte,,1,0,0,0,autosubmit,0,immediatefeedback,1,0,1,1,2,-1,69888,4352,69888,4352,4352,4352,4352,5,free,1,6.00000,10.00000,1694250759,1694329735,,,-,0,0,0,0,0,0,0
3,2,Runden,,1,0,0,0,autosubmit,0,immediatefeedback,0,0,0,1,2,-1,69888,4352,69888,4352,4352,4352,4352,4,free,1,180.00000,10.00000,1694270297,1694329816,,,-,0,0,0,0,0,0,0
4,2,Ausklammern,,1,0,0,0,autosubmit,0,deferredfeedback,0,0,0,1,2,-1,69888,4352,4352,4352,4352,4352,4352,1,free,1,400.00000,10.00000,1694270442,1694270442,,,-,0,0,0,0,0,0,0
5,2,Ausklammern Division,,1,0,0,0,autosubmit,0,immediatefeedback,0,0,0,1,2,-1,69888,4352,69888,4352,4352,4352,4352,5,free,1,700.00000,10.00000,1694270540,1694329969,,,-,0,0,0,0,0,0,0
6,2,Ausklammern Multiplikation,,1,0,0,0,autosubmit,0,deferredfeedback,0,0,0,1,2,-1,69888,4352,4352,4352,4352,4352,4352,1,free,1,1200.00000,10.00000,1694270666,1694270666,,,-,0,0,0,0,0,0,0
7,4,Ausklammern mit Dezimalzahlen: Multiplikation,,1,0,0,0,autosubmit,0,deferredfeedback,0,0,0,1,2,-1,69888,4352,4352,4352,4352,4352,4352,1,free,1,600.00000,10.00000,1694270781,1694270781,,,-,0,0,0,0,0,0,0
8,4,Runden,,1,0,0,0,autosubmit,0,immediatefeedback,0,0,0,1,2,-1,69888,69888,69888,69888,69888,69888,4352,5,free,1,9.00000,10.00000,1694331395,1694331395,,,-,0,0,0,0,0,0,0
9,2,Auswahl der übermittelten Daten,"<p>Mit dieser Umfrage kannst du auswählen, welche Daten zur Analyse deines Lernfortschritts und deiner Leistungen übermittelt werden.</p>
<p><strong>Diese Umfrage muss als erste Aktivität erledigt werden. Wird die Umfrage nicht beantwortet, so werden automatisch alle Daten übertragen.</strong></p>
<p>Alle Daten werden auf einem sicheren Server in einer Datenbank gespeichert. Du kannst jetzt entscheiden, welche deiner Daten von dieser Datenbank an deinen Lehrer oder deiner Lehrerin übermittelt werden.</p>
<p>Diese Daten werden ausschließlich für die Unterrichtsvorbereitung der Klasse durch die Lehrkraft sowie deiner individuellen Förderung genutzt und nicht an Dritte weitergegeben. </p>
<p>Auch wenn du keine Daten übermitteln möchtest, kannst du dieses System nutzen und die Aufgaben bearbeiten. Die Daten helfen deiner Lehrkraft bei der Einschätzung deiner Leistungen.</p>",1,0,0,0,autosubmit,0,immediatefeedback,0,0,0,4,2,-1,69888,0,0,69888,0,0,0,0,free,0,0.00000,0.00000,1694507567,1699548204,,,-,0,0,0,0,0,1,0
10,7,Auswahl der übermittelten Daten,,1,0,0,0,autosubmit,0,deferredfeedback,0,0,0,1,2,-1,69888,4352,4352,4352,4352,4352,4352,1,free,1,0.00000,10.00000,1696769833,1696769833,,,-,0,0,0,0,0,0,0
11,7,Runden,,1,0,0,0,autosubmit,0,deferredfeedback,0,0,0,1,2,-1,69888,4352,4352,4352,4352,4352,4352,1,free,1,27.00000,10.00000,1696770036,1696770036,,,-,0,0,0,0,0,0,0
